model_name,model_year,sale_price,mileage,car_age,yearly_maint,maintenance_status,assigned_tier
"A Class",2019,25399,4059,7,635,Minor,Economy
"C Class",2019,31199,2000,7,952,Minor,Standard
"GLE Class",2019,53199,2504,7,1428,Minor,Premium
"A Class",2019,34799,3778,7,635,Minor,Economy
"CL Class",2019,26049,14042,7,2063,Minor,Luxury
"CL Class",2019,26349,10893,7,2063,Minor,Luxury
"E Class",2019,37299,14031,7,1428,Minor,Premium
"E Class",2019,28799,12236,7,1428,Minor,Premium
"E Class",2017,21599,28234,9,1666,Minor,Premium
"E Class",2017,18999,50000,9,1666,Minor,Premium
"E Class",2017,20699,26442,9,1666,Minor,Premium
"E Class",2017,22499,19493,9,1666,Minor,Premium
"C Class",2019,26499,11700,7,952,Minor,Standard
"C Class",2019,24399,15028,7,952,Minor,Standard
"C Class",2019,28299,5005,7,952,Minor,Standard
"C Class",2019,20299,14496,7,952,Minor,Standard
"B Class",2019,22899,9288,7,635,Minor,Economy
"C Class",2019,29999,5979,7,952,Minor,Standard
"E Class",2020,44500,100,6,1322,Major,Premium
"C Class",2020,34500,100,6,882,Major,Standard
"C Class",2020,34500,100,6,882,Major,Standard
"E Class",2020,44500,100,6,1322,Major,Premium
"C Class",2020,31000,100,6,882,Major,Standard
"C Class",2020,30500,700,6,882,Major,Standard
"C Class",2020,30500,100,6,882,Major,Standard
"GLA Class",2020,27300,100,6,588,Major,Economy
"E Class",2019,24000,13945,7,1428,Minor,Premium
"S Class",2019,46250,9252,7,2063,Minor,Luxury
"CL Class",2017,18099,42300,9,2406,Minor,Luxury
"GLE Class",2017,30199,23632,9,1666,Minor,Premium
"E Class",2017,22299,21702,9,1666,Minor,Premium
"A Class",2019,21999,1738,7,635,Minor,Economy
"B Class",2019,26599,2988,7,635,Minor,Economy
"C Class",2019,26799,2277,7,952,Minor,Standard
"C Class",2019,31499,9486,7,952,Minor,Standard
"GLC Class",2019,38099,5052,7,1428,Minor,Premium
"E Class",2019,35349,11598,7,1428,Minor,Premium
"GLA Class",2018,22299,11597,8,686,Major,Economy
"E Class",2019,25999,12274,7,1428,Minor,Premium
"B Class",2019,22199,15798,7,635,Minor,Economy
"E Class",2019,25499,10423,7,1428,Minor,Premium
"E Class",2019,24799,14027,7,1428,Minor,Premium
"C Class",2019,20849,10776,7,952,Minor,Standard
"GLA Class",2018,18749,20646,8,686,Major,Economy
"E Class",2017,20849,23472,9,1666,Minor,Premium
"C Class",2018,28389,5454,8,1028,Major,Standard
"C Class",2018,22849,8641,8,1028,Major,Standard
"C Class",2019,20249,14426,7,952,Minor,Standard
"A Class",2020,26500,3500,6,588,Major,Economy
"GLC Class",2018,35000,23500,8,1542,Major,Premium
"CLS Class",2017,20000,26941,9,1666,Minor,Premium
"CLS Class",2016,19113,39972,10,1799,Major,Premium
"A Class",2020,31500,1000,6,588,Major,Economy
"C Class",2020,34500,100,6,882,Major,Standard
"C Class",2020,34500,100,6,882,Major,Standard
"C Class",2020,30500,100,6,882,Major,Standard
"E Class",2020,44500,2000,6,1322,Major,Premium
"A Class",2020,26000,4250,6,588,Major,Economy
"A Class",2020,25500,2902,6,588,Major,Economy
"E Class",2019,39700,2077,7,1428,Minor,Premium
"GLC Class",2019,36000,7800,7,1428,Minor,Premium
"GLC Class",2016,27000,8153,10,1799,Major,Premium
"E Class",2019,62500,3200,7,1428,Minor,Premium
"A Class",2020,26000,4500,6,588,Major,Economy
"GLC Class",2019,32148,4000,7,1428,Minor,Premium
"E Class",2019,27770,10825,7,1428,Minor,Premium
"GLC Class",2019,34800,10747,7,1428,Minor,Premium
"GLC Class",2019,51500,23500,7,1428,Minor,Premium
"GLC Class",2019,35159,100,7,1428,Minor,Premium
"GLA Class",2015,17499,47000,11,864,Minor,Economy
"C Class",2016,17399,36074,10,1199,Major,Standard
"C Class",2017,22000,46512,9,1111,Minor,Standard
"E Class",2019,33680,9854,7,1428,Minor,Premium
